id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_shard,parent_payment_id,shard1_id,shard2_id,is_success,is_rolledback,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee,attempts_history
960,3731,107,1091857,282220,2305843009213693951,283427,0,1,954,-1,-1,0,1,0,0,0,1,33108-12553,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283427,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":1091859,""edge_cap"":1024110,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":1091857,""edge_cap"":128868694,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
961,3731,107,1091858,282220,2305843009213693951,283422,0,1,954,-1,-1,0,1,0,0,0,1,33108-12553,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283422,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":1091860,""edge_cap"":1024110,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":1091858,""edge_cap"":128868694,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
962,3731,107,1091857,282220,2305843009213693951,283424,0,1,955,-1,-1,0,1,0,0,0,1,33108-12553,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283424,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":1091859,""edge_cap"":1024110,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":1091857,""edge_cap"":128868694,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
963,3731,107,1091858,282220,2305843009213693951,283422,0,1,955,-1,-1,0,1,0,0,0,1,33108-12553,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283422,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":1091860,""edge_cap"":1024110,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":1091858,""edge_cap"":128868694,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
964,5090,2693,4886412,288631,9223372036854775807,288631,1,1,292,966,967,0,0,0,0,0,1,"",0,
965,5090,2693,4886412,288631,9223372036854775807,289232,1,1,292,968,969,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":289232,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":50306,""from_node_id"":5090,""to_node_id"":177,""sent_amt"":4887416,""edge_cap"":2492236,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":727,""from_node_id"":177,""to_node_id"":54,""sent_amt"":4887416,""edge_cap"":9639028049,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":22646,""from_node_id"":54,""to_node_id"":2693,""sent_amt"":4886412,""edge_cap"":11684278,""channel_cap"":350000000,""group_cap"":null,""channel_update"":350000000}]}]"
966,5090,2693,2443206,288631,4611686018427387903,289232,1,1,964,972,973,0,0,0,0,0,1,"",0,
967,5090,2693,2443206,288631,4611686018427387903,289834,1,1,964,974,975,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":289834,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":50306,""from_node_id"":5090,""to_node_id"":177,""sent_amt"":2444208,""edge_cap"":47028,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":727,""from_node_id"":177,""to_node_id"":54,""sent_amt"":2444208,""edge_cap"":9636582841,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":22646,""from_node_id"":54,""to_node_id"":2693,""sent_amt"":2443206,""edge_cap"":9241072,""channel_cap"":350000000,""group_cap"":null,""channel_update"":350000000}]}]"
968,5090,2693,2443206,288631,4611686018427387903,289833,1,1,965,976,977,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":289833,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":50306,""from_node_id"":5090,""to_node_id"":177,""sent_amt"":2444208,""edge_cap"":47028,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":727,""from_node_id"":177,""to_node_id"":54,""sent_amt"":2444208,""edge_cap"":9636582841,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":22646,""from_node_id"":54,""to_node_id"":2693,""sent_amt"":2443206,""edge_cap"":9241072,""channel_cap"":350000000,""group_cap"":null,""channel_update"":350000000}]}]"
969,5090,2693,2443206,288631,4611686018427387903,289833,1,1,965,978,979,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":289833,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":50306,""from_node_id"":5090,""to_node_id"":177,""sent_amt"":2444208,""edge_cap"":47028,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":727,""from_node_id"":177,""to_node_id"":54,""sent_amt"":2444208,""edge_cap"":9636582841,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":22646,""from_node_id"":54,""to_node_id"":2693,""sent_amt"":2443206,""edge_cap"":9241072,""channel_cap"":350000000,""group_cap"":null,""channel_update"":350000000}]}]"
